ID ANSSI;Titre ANSSI;Type;Date;CVE;CVSS;Base Severity;CWE;EPSS;Lien;Description;Éditeur;Produit;Version
CERTFR-2023-ALE-012;[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023);alerte;Mon, 23 Oct 2023 00:00:00 +0000;CVE-2023-4966;9.4;Critical;CWE-119;0.943480000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/;;;
CERTFR-2023-ALE-013;Vulnérabilité dans Apache Struts 2 (13 décembre 2023);alerte;Wed, 13 Dec 2023 00:00:00 +0000;CVE-2023-50164;;Inconnu;CWE-552;0.936470000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/;;;
CERTFR-2024-ALE-001;[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024);alerte;Thu, 11 Jan 2024 00:00:00 +0000;CVE-2023-46805;8.2;High;Non disponible;0.943670000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/;;;
CERTFR-2024-ALE-001;[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024);alerte;Thu, 11 Jan 2024 00:00:00 +0000;CVE-2024-21887;9.1;Critical;Non disponible;0.944120000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/;;;
CERTFR-2024-ALE-001;[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024);alerte;Thu, 11 Jan 2024 00:00:00 +0000;CVE-2024-21893;8.2;High;Non disponible;0.943190000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/;;;
CERTFR-2024-ALE-001;[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024);alerte;Thu, 11 Jan 2024 00:00:00 +0000;CVE-2024-21888;8.8;High;Non disponible;0.640040000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/;;;
CERTFR-2024-ALE-001;[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024);alerte;Thu, 11 Jan 2024 00:00:00 +0000;CVE-2024-22024;8.3;High;Non disponible;0.942490000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/;;;
CERTFR-2024-ALE-002;[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024);alerte;Fri, 12 Jan 2024 00:00:00 +0000;CVE-2024-0402;9.9;Critical;CWE-22;0.393120000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/;;;
CERTFR-2024-ALE-002;[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024);alerte;Fri, 12 Jan 2024 00:00:00 +0000;CVE-2023-7028;10;Critical;CWE-640;0.936040000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/;;;
CERTFR-2024-ALE-003;[MàJ] Incident affectant les solutions AnyDesk (05 février 2024);alerte;Mon, 05 Feb 2024 00:00:00 +0000;;;;;;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-003/;;;
CERTFR-2024-ALE-004;[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024);alerte;Fri, 09 Feb 2024 00:00:00 +0000;CVE-2024-21762;9.6;Critical;CWE-787;0.929410000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/;;;
CERTFR-2024-ALE-005;[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024);alerte;Thu, 15 Feb 2024 00:00:00 +0000;CVE-2024-21413;9.8;Critical;CWE-20;0.933850000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/;;;
CERTFR-2024-ALE-006;[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024);alerte;Fri, 12 Apr 2024 00:00:00 +0000;CVE-2024-3400;10;Critical;CWE-77;0.942970000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/;;;
CERTFR-2024-ALE-007;Multiples vulnérabilités dans les produits Cisco (25 avril 2024);alerte;Thu, 25 Apr 2024 00:00:00 +0000;CVE-2024-20353;8.6;High;CWE-835;0.195360000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/;;;
CERTFR-2024-ALE-007;Multiples vulnérabilités dans les produits Cisco (25 avril 2024);alerte;Thu, 25 Apr 2024 00:00:00 +0000;CVE-2024-20359;6;Medium;CWE-94;0.001880000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/;;;
